feature_name
minutes
n_steps
n_ingredients
tags_len
steps_len
ingredients_len
tags_avg_item_len
steps_avg_item_len
ingredients_avg_item_len
tags_total_text_len
steps_total_text_len
ingredients_total_text_len
name_len
name_word_count
description_len
description_word_count
submitted_year
submitted_month
submitted_weekday
calories
total_fat_pdv
sugar_pdv
sodium_pdv
protein_pdv
saturated_fat_pdv
carbs_pdv
minutes_per_step
ingredients_per_step
calories_per_ingredient
calories_per_step
is_quick_recipe
is_long_recipe
is_few_ingredients
log1p_minutes
log1p_description_len
log1p_steps_total_text_len
log1p_ingredients_total_text_len
log1p_calories
